k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,fireVal,policeVal,cctvVal,cluster,DistanceToCenter,score,class
A15783701,등촌임광,강서구,등촌동,126.8633551,37.5404837,37.5134837,37.567483700000004,126.8363551,126.89035510000001,0.5263157894736842,0.08695652173913043,0.5980207351555137,2,0.19423063350768893,0.8349439491344646,1.0
A13790604,잠원동대우아이빌,서초구,잠원동,127.0183736,37.5113932,37.4843932,37.5383932,126.9913736,127.0453736,0.47368421052631576,0.8695652173913043,0.6787229029217718,0,0.46751910488114734,1.4690927742119162,0.0
A13184502,면목성원,중랑구,면목동,127.0907522,37.5774892,37.5504892,37.6044892,127.0637522,127.1177522,0.47368421052631576,0.30434782608695654,0.6564561734213007,0,0.15399233043239793,1.1555659997631669,0.0
A15704003,염창월드메르디앙,강서구,염창동,126.8727626,37.5528637,37.5258637,37.579863700000004,126.8457626,126.8997626,0.42105263157894735,0.043478260869565216,0.354382657869934,2,0.16275974163335014,0.8034730572601259,1.0
A13508003,대우디오빌플러스,강남구,역삼동,127.0311179,37.4975858,37.4705858,37.524585800000004,127.0041179,127.0581179,0.2631578947368421,0.8695652173913043,0.8238689915174363,0,0.558138137267012,1.5597118065977809,0.0
A15809401,신월2차보람쉬움,양천구,신월동,126.8369039,37.5243291,37.4973291,37.551329100000004,126.8099039,126.8639039,0.2631578947368421,0.13043478260869565,0.5732799245994344,2,0.18926337904997917,0.8299766946767548,1.0
A13610201,정릉2차대주피오레,성북구,정릉동,127.008977,37.6018169,37.5748169,37.628816900000004,126.981977,127.035977,0.5263157894736842,0.08695652173913043,0.4813854853911404,2,0.13989316343253375,0.7806064790593095,1.0
A13309101,신금호두산위브,성동구,금호동1가,127.0223133,37.5559626,37.5289626,37.5829626,126.99531329999999,127.0493133,0.7894736842105263,0.21739130434782608,0.6903864278982093,0,0.2985137848082154,1.3000874541389842,0.0
A15883101,신월성원,양천구,신월동,126.8339527,37.5282122,37.5012122,37.5552122,126.8069527,126.8609527,0.2631578947368421,0.08695652173913043,0.5367577756833176,2,0.1842409978242444,0.8249543134510201,1.0
A15010301,양평우림루미아트,영등포구,양평동3가,126.8880477,37.5265939,37.4995939,37.5535939,126.8610477,126.9150477,0.47368421052631576,0.17391304347826086,0.5208529688972667,2,0.08568629092258348,0.7263996065493592,1.0
A13406002,둔촌동동아,강동구,둔촌동,127.1458735,37.5331763,37.5061763,37.5601763,127.11887349999999,127.1728735,0.42105263157894735,0.13043478260869565,0.3693449575871819,2,0.09930513496556041,0.7400184505923361,1.0
A15784201,등촌현대1차(한마음),강서구,등촌동,126.8553276,37.5559066,37.5289066,37.5829066,126.8283276,126.8823276,0.42105263157894735,0.08695652173913043,0.4619462770970782,2,0.07891728995615051,0.7196306055829262,1.0
A15722001,마곡삼성,강서구,방화동,126.8221909,37.5721234,37.5451234,37.5991234,126.7951909,126.8491909,0.21052631578947367,0.043478260869565216,0.18673421300659754,1,0.07068323372256331,0.31752297683931363,2.0
A15009601,문래미원아파트,영등포구,문래동6가,126.8864037,37.5198906,37.492890599999996,37.5468906,126.8594037,126.9134037,0.7368421052631579,0.30434782608695654,0.5774033930254476,0,0.2460674354580868,1.2476411047888556,0.0
A13381601,왕십리중앙하이츠,성동구,마장동,127.039119,37.5654091,37.538409099999996,37.5924091,127.012119,127.066119,0.7368421052631579,0.3913043478260869,0.8282280867106503,0,0.20589659636802987,1.2074702656987988,0.0
A14005001,청암자이,용산구,청암동,126.9467137,37.5351772,37.5081772,37.5621772,126.9197137,126.9737137,0.631578947368421,0.21739130434782608,0.36486804901036757,2,0.24551975131094583,0.8862330669377215,1.0
